Video Title,Views,Likes,Dislikes,Clickbait 1/ Not-Clickbait 0
I Started a Secret Base War,872678,21409,379,0
Exclusive Images of deserted Kabul airport hours after US withdrawal  FRANCE 24 English,781701,6179,483,0
Drake ft. Future and Young Thug - Way 2 Sexy (Official Video),13630604,503416,21303,0
CG5 - Vibrant Eyes [Dream SMP original song],1039172,125160,754,0
"ADAM COLE On His AEW ALL OUT 2021 DEBUT, MAKING HIS DECISION & MORE!",224956,6856,114,0
Qualifying Highlights  2021 Dutch Grand Prix,3304392,81058,930,0
BIGGEST UPSET OF THE DECADE! 1v1 Basketball Against D'Vontay Friga,514661,39193,3875,0
Rick and Morty  S5E9 Cold Open Morty Cleans Up Rick's Mess  adult swim,1734668,37655,294,0
Did you know that for LORD OF WAR...,989354,42855,1053,0
"Game Theory FNF, The Bob Mod SOLVED! (Friday Night Funkin)",1783044,115093,1545,0
All About Tha (BOOM!) Adam Cole AEW Entrance Theme  AEW Music,329106,15898,143,0
"Jhay Cortez, Anuel AA - Ley Seca (Official Video)",4191598,202802,3447,0
200 Days - [Minecraft with Tors],2713610,172354,2068,0
"Paul Heyman gives Roman Reigns a message from Brock Lesnar SmackDown, Sept. 3, 2021",1948490,55238,1037,0
Building a 5 Acre Pond! (Hurricane Update),370869,18603,176,0
Lil Duval - Sexy (Official Video) ft. Boosie Badazz,315321,20784,501,0
Race Highlights  2021 Dutch Grand Prix,3868339,95877,1469,0
Battlefield 2042 NEW Gameplay and Details!,1243918,45419,1406,0
"Minecraft, But Upside Down",667069,48756,1442,0
Home surveillance video shows speed of Waverly flooding,308859,3640,134,0
WHO CAN PUNCH THE HARDEST IN AMP,232821,14510,99,0
Rick and Morty is Real.,583682,12996,1006,0
Hermitcraft S8 My Mountain Isn't Big Enough For This...  Episode 9,454438,32230,208,0
I Built a REAL Chick-fil-A in my House!!!,1248102,31343,1405,0
Evolving The Biggest Army Possible To Win,389431,15702,194,0
I've been thinking of retiring.,2569670,428488,3659,0
Inside Japan's WORST Hotel Room  Feat. @CDawgVA,834150,68925,666,0
Can We Break Into a BANK SAFE With This WRECKING BALL,1054025,61286,540,0
vegan eats MEAT for 24 hours...,344665,24331,639,0
Carlos Alcaraz vs Stefanos Tsitsipas Highlights  2021 US Open Round 3,1411523,16551,444,0
Crucify But Everyone Sings It (Friday Night Funkin' Animation),1117549,30283,1157,0
The Wheel Of Time  Official Teaser Trailer  Prime Video,4457949,61444,3576,0
This Sphere is in Vanilla Minecraft,2115528,114074,1137,0
Mario Vs Luigi - Cartoon Beatbox Collabs,566318,28294,495,0
Full Cabin Tour  Before & After 1 Year of Renovations,388719,30946,283,0
DaBaby - Wockesha (Freestyle) [Official Video],1823136,137724,3211,0
The MOST INSANE TikTok Hacks,398427,6616,896,0
World's Largest Water Tunnel!,6106336,300841,3120,0
Destroying Friendships with the Minecraft Gravity Mod,5427054,709329,2206,0
JayDaYoungan - All Rise [Official Music Video],385234,25654,570,0
The Dogs Go On a RV CAMPING TRIP!,211985,7386,88,0
ABBA - I Still Have Faith In You,14308318,304916,6870,0
12 Types of Students in Every Computer Class,1166494,56814,1059,0
Yellowstone Season 4 Official Trailer  Paramount Network,1950445,6309,278,0
Mocking up the interior (Rebuilding Tally Ho  EP105),319671,28805,121,0
I Got Hunted By 1000 Chickens!,2187444,130910,1966,0
Trying TikTok Computer Hacks...,1898229,107379,2248,0
The Sims 4 Spa Day Refresh Official Trailer,443639,36923,724,0
Unboxing Samsung's Mind Bending New Display...,1002665,40521,1709,0
INSANE MINECRAFT CHALLANGE - DRAWING SUBSCRIBERS EVERYDAY (DAY 33) #shorts,227386,18128,414,0
12 Minutes... HOW CAN I SAVE MY BABY IN TWELVE MINUTES,4213438,467145,1502,0
Big30 - Free Shiest Life ft. Pooh Shiesty (Official Video),1046498,39291,473,0
I Googled Myself...,893833,131128,474,0
"Last To Leave Circle Wins $500,000",40712459,2390269,24583,0
Speedrunning Cuphead is much harder than you think,675641,31018,420,0
ABBA - Don't Shut Me Down (Lyric Video),6974136,198395,2919,0
OFFICIAL SCIENTIST Mod in Among Us,3607286,238848,3356,0
Daddy Yankee - MTELE AL PERREO (Official Video),17750100,201744,9571,0
Monstermax 1s New Replacement,2549399,98754,1858,0
"Big30 Talks About Memphis, Pooh Shiesty, Moneybagg Yo, Blrrrd Adlib, Yo Gotti, OTF, Debut Tape",584870,11624,247,0
Georgia Bulldogs vs. Clemson Tigers  Full Game Highlights,177955,1959,56,0
"100 People Decide Who Wins $30,000!",10361039,503673,7119,0
How To Win 1v2's,143480,8620,583,0
"Ohio State at Minnesota  C.J. Stroud Looks Good in Opener vs Gophers  Sept. 2, 2021  Highlights",139105,1084,68,0
Testing Level 100 Clickbait Minecraft Hacks!,966850,26354,828,0
Falling Into The Genshin Impact Hole,1009232,134932,684,0
How To Beat The DEATH GAME In Funhouse,1230859,60245,650,0
How to Master the Zandvoort F1 Track!  Nico Rosberg  Dutch GP 2021,525063,19976,226,0
Different types of Students during Lunch,296673,17721,278,0
Official Moving Day!,656606,41401,1706,0
100 LEGO Mystery Buttons but Only One Lets You Escape... ft Unspeakable,2067033,68353,1860,0
El Salvador vs. USA Extended Highlights  CONCACAF World Cup Qualifying  CBS Sports Golazo,389762,2862,179,0
Drake - Fair Trade (Audio) ft. Travis Scott,6217842,232483,3940,0
Building an UNBREAKABLE TESSERACT CUBE!,1687124,81479,1474,0
Lanky Kong listens to DK Rap for the first time,839745,102699,567,0
Can We Become American Ninja Warriors (Daequan and Hamlinz),819705,68459,402,0
Why Anecdotes Trump Data,980055,36060,1347,0
How Rickson Gracie Learned to Overcome Fear,471265,13724,149,0
